Name,Status,Remark,Ocsean Current time range,Wind time range,Start Longitude,Start Latitude
CM1,Complete,Simulation finished successfully,2024-01-01 00:30:00 to 2024-01-01 23:30:00,2024-01-01 00:00:00 to 2024-01-01 23:00:00,-48.1938,43.85302
CM2,Complete,Simulation finished successfully,2024-01-01 00:30:00 to 2024-01-01 23:30:00,2024-01-01 00:00:00 to 2024-01-01 23:00:00,-4.61162,-12.9754
CM3,Complete,Simulation finished successfully,2024-01-01 00:30:00 to 2024-01-01 23:30:00,2024-01-01 00:00:00 to 2024-01-01 23:00:00,-142.91,44.4316
CM4,Complete,Simulation finished successfully,2024-01-01 00:30:00 to 2024-01-01 23:30:00,2024-01-01 00:00:00 to 2024-01-01 23:00:00,53.808,26.094
CM5,Complete,Simulation finished successfully,2024-01-02 00:30:00 to 2024-01-02 23:30:00,2024-01-02 00:00:00 to 2024-01-02 23:00:00,-48.1938,43.85302
CM6,Complete,Simulation finished successfully,2024-01-02 00:30:00 to 2024-01-02 23:30:00,2024-01-02 00:00:00 to 2024-01-02 23:00:00,-4.61162,-12.9754
CM7,Complete,Simulation finished successfully,2024-01-02 00:30:00 to 2024-01-02 23:30:00,2024-01-02 00:00:00 to 2024-01-02 23:00:00,-142.91,44.4316
CM8,Complete,Simulation finished successfully,2024-01-02 00:30:00 to 2024-01-02 23:30:00,2024-01-02 00:00:00 to 2024-01-02 23:00:00,53.808,26.094
CM9,Complete,Simulation finished successfully,2024-01-03 00:30:00 to 2024-01-03 23:30:00,2024-01-03 00:00:00 to 2024-01-03 23:00:00,-48.1938,43.85302
CM10,Complete,Simulation finished successfully,2024-01-03 00:30:00 to 2024-01-03 23:30:00,2024-01-03 00:00:00 to 2024-01-03 23:00:00,-4.61162,-12.9754
CM11,Complete,Simulation finished successfully,2024-01-03 00:30:00 to 2024-01-03 23:30:00,2024-01-03 00:00:00 to 2024-01-03 23:00:00,-142.91,44.4316
CM12,Complete,Simulation finished successfully,2024-01-03 00:30:00 to 2024-01-03 23:30:00,2024-01-03 00:00:00 to 2024-01-03 23:00:00,53.808,26.094
CM13,Complete,Simulation finished successfully,2024-01-04 00:30:00 to 2024-01-04 23:30:00,2024-01-04 00:00:00 to 2024-01-04 23:00:00,-48.1938,43.85302
CM14,Complete,Simulation finished successfully,2024-01-04 00:30:00 to 2024-01-04 23:30:00,2024-01-04 00:00:00 to 2024-01-04 23:00:00,-4.61162,-12.9754
CM15,Complete,Simulation finished successfully,2024-01-04 00:30:00 to 2024-01-04 23:30:00,2024-01-04 00:00:00 to 2024-01-04 23:00:00,-142.91,44.4316
CM16,Complete,Simulation finished successfully,2024-01-04 00:30:00 to 2024-01-04 23:30:00,2024-01-04 00:00:00 to 2024-01-04 23:00:00,53.808,26.094
CM17,Complete,Simulation finished successfully,2024-01-05 00:30:00 to 2024-01-05 23:30:00,2024-01-05 00:00:00 to 2024-01-05 23:00:00,-48.1938,43.85302
CM18,Complete,Simulation finished successfully,2024-01-05 00:30:00 to 2024-01-05 23:30:00,2024-01-05 00:00:00 to 2024-01-05 23:00:00,-4.61162,-12.9754
CM19,Complete,Simulation finished successfully,2024-01-05 00:30:00 to 2024-01-05 23:30:00,2024-01-05 00:00:00 to 2024-01-05 23:00:00,-142.91,44.4316
CM20,Complete,Simulation finished successfully,2024-01-05 00:30:00 to 2024-01-05 23:30:00,2024-01-05 00:00:00 to 2024-01-05 23:00:00,53.808,26.094
CM21,Complete,Simulation finished successfully,2024-01-06 00:30:00 to 2024-01-06 23:30:00,2024-01-06 00:00:00 to 2024-01-06 23:00:00,-48.1938,43.85302
CM22,Complete,Simulation finished successfully,2024-01-06 00:30:00 to 2024-01-06 23:30:00,2024-01-06 00:00:00 to 2024-01-06 23:00:00,-4.61162,-12.9754
